speed		hand		dir
   9.0223930e+01   0.0000000e+00   5.6836340e-01
   8.9079500e+01   0.0000000e+00   1.5851258e+00
   9.5071000e+01   0.0000000e+00   5.9565442e+00
   9.1083560e+01   1.0000000e+00   5.5597369e+00
   9.4596010e+01   0.0000000e+00   1.2601077e+00
   9.6080590e+01   1.0000000e+00   5.8556536e+00
   9.3490170e+01   0.0000000e+00   6.0302092e+00
   9.4601490e+01   1.0000000e+00   5.7607522e+00
   9.5025000e+01   0.0000000e+00   5.5984720e+00
   9.7879320e+01   1.0000000e+00   6.0042416e+00
   9.5789610e+01   0.0000000e+00   4.1094534e+00
   9.5669020e+01   1.0000000e+00   2.5575549e+00
   9.0108490e+01   0.0000000e+00   7.8747714e-01
   9.1045660e+01   0.0000000e+00   2.4057865e-01
   9.1013380e+01   0.0000000e+00   2.9050042e-01
   9.2230070e+01   0.0000000e+00   5.9959042e+00
   9.5229010e+01   0.0000000e+00   5.3592448e+00
   9.0994400e+01   0.0000000e+00   1.7030721e+00
   9.6533650e+01   0.0000000e+00   4.9476965e+00
   9.1070410e+01   0.0000000e+00   5.9946583e+00
   9.5304050e+01   1.0000000e+00   1.8660475e+00
   9.0457930e+01   0.0000000e+00   2.0270843e-01
   9.1801700e+01   0.0000000e+00   4.1287441e-01
   9.4482080e+01   0.0000000e+00   6.2745446e+00
   9.3289430e+01   1.0000000e+00   6.0973315e+00
   9.0255150e+01   0.0000000e+00   3.5391643e-01
   9.3863910e+01   0.0000000e+00   6.3075861e-01
   9.4600470e+01   1.0000000e+00   5.9854383e+00
   9.3184720e+01   1.0000000e+00   5.8022691e+00
   9.2270780e+01   0.0000000e+00   5.3877631e+00
   9.2903270e+01   0.0000000e+00   1.0052392e+00
   9.4266170e+01   0.0000000e+00   3.6571213e+00
   9.7507680e+01   0.0000000e+00   5.6545619e+00
   9.5000030e+01   0.0000000e+00   7.8118407e-01
   9.5059690e+01   0.0000000e+00   6.9085693e-01
   9.3649580e+01   0.0000000e+00   5.2992084e+00
   9.4081000e+01   0.0000000e+00   7.4158391e-01
   9.8991730e+01   1.0000000e+00   1.3798109e+00
   9.6424600e+01   0.0000000e+00   6.0890352e+00
   9.3207570e+01   0.0000000e+00   5.1168926e+00
   8.6703300e+01   0.0000000e+00   1.7313071e+00
   9.8127950e+01   0.0000000e+00   5.1045876e+00
